file_name,file_path,file_type,invoice_number,vendor_name,invoice_date,due_date,bank_name,bank_account,email,currency,subtotal,tax,total_amount,items,items_text,calculated_total_from_items,raw_model_response,fallback_mode,category,is_registered_vendor,matched_vendor_name,vendor_match_score,amount_check,date_check,bank_account_check,duplicate_check,risk_flags,final_decision,explanation,processing_status,processing_time_sec,extraction_status,processed_at,error_types,needs_human_approval,loaded_from_cache,error_message,failure_reason,account_number,quantity,unit_price,grand_total,calculated_total,denial_reason,vendor_registered,bank_account_match,math_correct,date_valid,is_duplicate,has_amount_mismatch,has_unregistered_vendor,has_invalid_date,has_bank_account_mismatch,has_duplicate,has_extraction_failed,is_suspicious,is_clean
invoice_001.pdf,/kaggle/input/competitions/ai-legends-2026-ai-agents-automation/eval_agent/eval_agent/invoice_001.pdf,pdf,001,Демо Компани-5,2026-03-02,2026-03-17,Демо Банк 2,1009900880,info@demo5.mn,MNT,2920000.0,,3000000.0,"[{'description': 'Ачаа тээвэр (олон улс)', 'quantity': 1.0, 'unit_price': 2500000.0, 'line_total': 2500000.0, 'calculated_line_total': 2500000.0}, {'description': 'Гаалийн зардал', 'quantity': 1.0, 'unit_price': 420000.0, 'line_total': 420000.0, 'calculated_line_total': 420000.0}]",Ачаа тээвэр (олон улс) | Гаалийн зардал,2920000.0,"{
  ""invoice_number"": ""001"",
  ""vendor_name"": ""Демо Компани-5"",
  ""invoice_date"": ""2026-03-02"",
  ""due_date"": ""2026-03-17"",
  ""bank_name"": ""Демо Банк 2"",
  ""bank_account"": ""1009900880"",
  ""email"": ""info@demo5.mn"",
  ""currency"": ""MNT"",
  ""subtotal"": 2920000,
  ""tax"": null,
  ""total_amount"": 3000000,
  ""items"": [
    {
      ""description"": ""Ачаа тээвэр (олон улс)"",
      ""quantity"": 1,
      ""unit_price"": 2500000,
      ""line_total"": 2500000
    },
    {
      ""description"": ""Гаалийн зардал"",
      ""quantity"": 1,
      ""unit_price"": 420000,
      ""line_total"": 420000
    }
  ]
}",False,7,True,Демо Компани-5,100.0,False,True,True,False,AMOUNT_MISMATCH,HUMAN_APPROVAL,Detected risk flags: AMOUNT_MISMATCH,SUCCESS,1.42,SUCCESS,2026-05-03T19:20:55.110492,AMOUNT_MISMATCH,True,True,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,True,False
invoice_008.pdf,/kaggle/input/competitions/ai-legends-2026-ai-agents-automation/eval_agent/eval_agent/invoice_008.pdf,pdf,008,Демо Компани-1,2026-03-27,2026-04-11,Демо Банк 1,5001122138,finance@demo1.mn,MNT,65000.0,,65000.0,"[{'description': 'Ачаа боодлын материал', 'quantity': 1.0, 'unit_price': 65000.0, 'line_total': 65000.0, 'calculated_line_total': 65000.0}]",Ачаа боодлын материал,65000.0,"{
  ""invoice_number"": ""008"",
  ""vendor_name"": ""Демо Компани-1"",
  ""invoice_date"": ""2026-03-27"",
  ""due_date"": ""2026-04-11"",
  ""bank_name"": ""Демо Банк 1"",
  ""bank_account"": ""5001122138"",
  ""email"": ""finance@demo1.mn"",
  ""currency"": ""MNT"",
  ""subtotal"": 65000,
  ""tax"": null,
  ""total_amount"": 65000,
  ""items"": [
    {
      ""description"": ""Ачаа боодлын материал"",
      ""quantity"": 1,
      ""unit_price"": 65000,
      ""line_total"": 65000
    }
  ]
}",False,8,True,Демо Компани-1,100.0,True,True,False,False,BANK_ACCOUNT_MISMATCH,DENY,Detected risk flags: BANK_ACCOUNT_MISMATCH,SUCCESS,10.26,SUCCESS,2026-05-03T19:21:24.578277,BANK_ACCOUNT_MISMATCH,False,True,,,,,,,,Denied because of detected risk: BANK_ACCOUNT_MISMATCH,False,False,False,False,False,False,False,False,True,False,False,True,False
invoice_010.png,/kaggle/input/competitions/ai-legends-2026-ai-agents-automation/eval_agent/eval_agent/invoice_010.png,png,010,Демо Компани-1,2026-04-11,2026-04-26,Демо Банк 1,5001122360,finance@demo1.mn,MNT,380000.0,,380000.0,"[{'description': 'Хургэлтийн үйлчилгээ', 'quantity': 4.0, 'unit_price': 95000.0, 'line_total': 380000.0, 'calculated_line_total': 380000.0}]",Хургэлтийн үйлчилгээ,380000.0,"{
  ""invoice_number"": ""010"",
  ""vendor_name"": ""Демо Компани-1"",
  ""invoice_date"": ""2026-04-11"",
  ""due_date"": ""2026-04-26"",
  ""bank_name"": ""Демо Банк 1"",
  ""bank_account"": ""5001122360"",
  ""email"": ""finance@demo1.mn"",
  ""currency"": ""MNT"",
  ""subtotal"": 380000.0,
  ""tax"": null,
  ""total_amount"": 380000.0,
  ""items"": [
    {
      ""description"": ""Хургэлтийн үйлчилгээ"",
      ""quantity"": 4,
      ""unit_price"": 95000.0,
      ""line_total"": 380000.0
    }
  ]
}",False,8,True,Демо Компани-1,100.0,True,True,False,False,BANK_ACCOUNT_MISMATCH,DENY,Detected risk flags: BANK_ACCOUNT_MISMATCH,SUCCESS,10.65,SUCCESS,2026-05-03T19:21:42.887476,BANK_ACCOUNT_MISMATCH,False,True,,,,,,,,Denied because of detected risk: BANK_ACCOUNT_MISMATCH,False,False,False,False,False,False,False,False,True,False,False,True,False
invoice_012.pdf,/kaggle/input/competitions/ai-legends-2026-ai-agents-automation/eval_agent/eval_agent/invoice_012.pdf,pdf,012,Демо Компани-3,2026-04-06,2026-04-01,Демо Банк 1,4001122334,accounts@demo3.mn,MNT,400000.0,,400000.0,"[{'description': 'Сургалт (IT)', 'quantity': 1.0, 'unit_price': 400000.0, 'line_total': 400000.0, 'calculated_line_total': 400000.0}]",Сургалт (IT),400000.0,"{
  ""invoice_number"": ""012"",
  ""vendor_name"": ""Демо Компани-3"",
  ""invoice_date"": ""2026-04-06"",
  ""due_date"": ""2026-04-01"",
  ""bank_name"": ""Демо Банк 1"",
  ""bank_account"": ""4001122334"",
  ""email"": ""accounts@demo3.mn"",
  ""currency"": ""MNT"",
  ""subtotal"": 400000,
  ""tax"": null,
  ""total_amount"": 400000,
  ""items"": [
    {
      ""description"": ""Сургалт (IT)"",
      ""quantity"": 1,
      ""unit_price"": 400000,
      ""line_total"": 400000
    }
  ]
}",False,3,True,Демо Компани-3,100.0,True,False,True,False,INVALID_DATE,HUMAN_APPROVAL,Detected risk flags: INVALID_DATE,SUCCESS,1.66,SUCCESS,2026-05-03T19:24:56.798880,INVALID_DATE,True,False,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,True,False
invoice_014.pdf,/kaggle/input/competitions/ai-legends-2026-ai-agents-automation/eval_agent/eval_agent/invoice_014.pdf,pdf,НЭХЭМЖЛЭХ № 014,Демо Компани-15,2026-04-06,2026-04-21,Демо Банк 1,5555566677,ops@demo15.mn,MNT,600000.0,,600000.0,"[{'description': 'Барилга засвар материал', 'quantity': 4.0, 'unit_price': 150000.0, 'line_total': 600000.0, 'calculated_line_total': 600000.0}]",Барилга засвар материал,600000.0,"{
  ""invoice_number"": ""НЭХЭМЖЛЭХ № 014"",
  ""vendor_name"": ""Демо Компани-15"",
  ""invoice_date"": ""2026-04-06"",
  ""due_date"": ""2026-04-21"",
  ""bank_name"": ""Демо Банк 1"",
  ""bank_account"": ""5555566677"",
  ""email"": ""ops@demo15.mn"",
  ""currency"": ""MNT"",
  ""subtotal"": 600000,
  ""tax"": null,
  ""total_amount"": 600000,
  ""items"": [
    {
      ""description"": ""Барилга засвар материал"",
      ""quantity"": 4,
      ""unit_price"": 150000,
      ""line_total"": 600000
    }
  ]
}",False,4,True,Демо Компани-1,96.55172413793103,True,True,False,False,BANK_ACCOUNT_MISMATCH,DENY,Detected risk flags: BANK_ACCOUNT_MISMATCH,SUCCESS,1.13,SUCCESS,2026-05-03T19:24:59.304282,BANK_ACCOUNT_MISMATCH,False,False,,,,,,,,Denied because of detected risk: BANK_ACCOUNT_MISMATCH,False,False,False,False,False,False,False,False,True,False,False,True,False
invoice_015.pdf,/kaggle/input/competitions/ai-legends-2026-ai-agents-automation/eval_agent/eval_agent/invoice_015.pdf,pdf,015,Демо Компани-6,2026-03-22,2026-03-11,Демо Банк 2,1166778899,billing@demo6.mn,MNT,110000.0,,110000.0,"[{'description': 'Агуулахын камер систем (сарын)', 'quantity': 1.0, 'unit_price': 110000.0, 'line_total': 110000.0, 'calculated_line_total': 110000.0}]",Агуулахын камер систем (сарын),110000.0,"{
  ""invoice_number"": ""015"",
  ""vendor_name"": ""Демо Компани-6"",
  ""invoice_date"": ""2026-03-22"",
  ""due_date"": ""2026-03-11"",
  ""bank_name"": ""Демо Банк 2"",
  ""bank_account"": ""1166778899"",
  ""email"": ""billing@demo6.mn"",
  ""currency"": ""MNT"",
  ""subtotal"": 110000,
  ""tax"": null,
  ""total_amount"": 110000,
  ""items"": [
    {
      ""description"": ""Агуулахын камер систем (сарын)"",
      ""quantity"": 1,
      ""unit_price"": 110000,
      ""line_total"": 110000
    }
  ]
}",False,7,True,Демо Компани-6,100.0,True,False,True,False,INVALID_DATE,HUMAN_APPROVAL,Detected risk flags: INVALID_DATE,SUCCESS,1.29,SUCCESS,2026-05-03T19:25:00.591425,INVALID_DATE,True,False,,,,,,,,,False,False,False,False,False,False,False,True,False,False,False,True,False
invoice_016.pdf,/kaggle/input/competitions/ai-legends-2026-ai-agents-automation/eval_agent/eval_agent/invoice_016.pdf,pdf,016,Демо Компани-3,2026-03-10,2026-03-25,Демо Банк 1,4001122334,accounts@demo3.mn,MNT,150000.0,,150000.0,"[{'description': 'Техник үйлчилгээ', 'quantity': 2.0, 'unit_price': 75000.0, 'line_total': 150000.0, 'calculated_line_total': 150000.0}]",Техник үйлчилгээ,150000.0,"{
  ""invoice_number"": ""016"",
  ""vendor_name"": ""Демо Компани-3"",
  ""invoice_date"": ""2026-03-10"",
  ""due_date"": ""2026-03-25"",
  ""bank_name"": ""Демо Банк 1"",
  ""bank_account"": ""4001122334"",
  ""email"": ""accounts@demo3.mn"",
  ""currency"": ""MNT"",
  ""subtotal"": 150000,
  ""tax"": null,
  ""total_amount"": 150000,
  ""items"": [
    {
      ""description"": ""Техник үйлчилгээ"",
      ""quantity"": 2,
      ""unit_price"": 75000,
      ""line_total"": 150000
    }
  ]
}",False,3,True,Демо Компани-3,100.0,True,True,True,True,DUPLICATE,DENY,Detected risk flags: DUPLICATE,SUCCESS,1.15,SUCCESS,2026-05-03T19:25:01.743055,DUPLICATE,False,False,,,,,,,,Denied because of detected risk: DUPLICATE,False,False,False,False,True,False,False,False,False,True,False,True,False
invoice_019.png,/kaggle/input/competitions/ai-legends-2026-ai-agents-automation/eval_agent/eval_agent/invoice_019.png,png,019,Демо Компани-4,2025-10-26,2025-11-10,Демо Банк 2,5007788990,invoicing@demo4.mn,MNT,190000.0,,190000.0,"[{'description': 'Вэб байршуулалт (сарын)', 'quantity': 1.0, 'unit_price': 120000.0, 'line_total': 120000.0, 'calculated_line_total': 120000.0}, {'description': 'Домэйн сунгalt (жилийн)', 'quantity': 1.0, 'unit_price': 25000.0, 'line_total': 25000.0, 'calculated_line_total': 25000.0}, {'description': 'SSL сертификат (жилийн)', 'quantity': 1.0, 'unit_price': 45000.0, 'line_total': 45000.0, 'calculated_line_total': 45000.0}]",Вэб байршуулалт (сарын) | Домэйн сунгalt (жилийн) | SSL сертификат (жилийн),190000.0,"{
  ""invoice_number"": ""019"",
  ""vendor_name"": ""Демо Компани-4"",
  ""invoice_date"": ""2025-10-26"",
  ""due_date"": ""2025-11-10"",
  ""bank_name"": ""Демо Банк 2"",
  ""bank_account"": ""5007788990"",
  ""email"": ""invoicing@demo4.mn"",
  ""currency"": ""MNT"",
  ""subtotal"": 190000,
  ""tax"": null,
  ""total_amount"": 190000,
  ""items"": [
    {
      ""description"": ""Вэб байршуулалт (сарын)"",
      ""quantity"": 1,
      ""unit_price"": 120000,
      ""line_total"": 120000
    },
    {
      ""description"": ""Домэйн сунгalt (жилийн)"",
      ""quantity"": 1,
      ""unit_price"": 25000,
      ""line_total"": 25000
    },
    {
      ""description"": ""SSL сертификат (жилийн)"",
      ""quantity"": 1,
      ""unit_price"": 45000,
      ""line_total"": 45000
    }
  ]
}",False,10,True,Демо Компани-4,100.0,True,True,True,True,DUPLICATE,DENY,Detected risk flags: DUPLICATE,SUCCESS,7.59,SUCCESS,2026-05-03T19:25:20.258767,DUPLICATE,False,False,,,,,,,,Denied because of detected risk: DUPLICATE,False,False,False,False,True,False,False,False,False,True,False,True,False
invoice_020.png,/kaggle/input/competitions/ai-legends-2026-ai-agents-automation/eval_agent/eval_agent/invoice_020.png,png,020,Демо Компани-5,2026-03-15,2026-03-30,Демо Банк 2,1009900880,info@demo5.mn,MNT,300000.0,,300000.0,"[{'description': 'Барилга засвар материал', 'quantity': 2.0, 'unit_price': 150000.0, 'line_total': 300000.0, 'calculated_line_total': 300000.0}]",Барилга засвар материал,300000.0,"{
  ""invoice_number"": ""020"",
  ""vendor_name"": ""Демо Компани-5"",
  ""invoice_date"": ""2026-03-15"",
  ""due_date"": ""2026-03-30"",
  ""bank_name"": ""Демо Банк 2"",
  ""bank_account"": ""1009900880"",
  ""email"": ""info@demo5.mn"",
  ""currency"": ""MNT"",
  ""subtotal"": 300000,
  ""tax"": null,
  ""total_amount"": 300000,
  ""items"": [
    {
      ""description"": ""Барилга засвар материал"",
      ""quantity"": 2,
      ""unit_price"": 150000,
      ""line_total"": 300000
    }
  ]
}",False,7,True,Демо Компани-5,100.0,True,True,True,True,DUPLICATE,DENY,Detected risk flags: DUPLICATE,SUCCESS,7.49,SUCCESS,2026-05-03T19:25:27.748925,DUPLICATE,False,False,,,,,,,,Denied because of detected risk: DUPLICATE,False,False,False,False,True,False,False,False,False,True,False,True,False
invoice_025.png,/kaggle/input/competitions/ai-legends-2026-ai-agents-automation/eval_agent/eval_agent/invoice_025.png,png,025,Демо Компани-4,2026-03-09,2026-03-24,Демо Банк 2,5007788723,invoicing@demo4.mn,MNT,180000.0,,180000.0,"[{'description': 'Компьютер засвар үйлчилгээ', 'quantity': 4.0, 'unit_price': 45000.0, 'line_total': 180000.0, 'calculated_line_total': 180000.0}]",Компьютер засвар үйлчилгээ,180000.0,"{
  ""invoice_number"": ""025"",
  ""vendor_name"": ""Демо Компани-4"",
  ""invoice_date"": ""2026-03-09"",
  ""due_date"": ""2026-03-24"",
  ""bank_name"": ""Демо Банк 2"",
  ""bank_account"": ""5007788723"",
  ""email"": ""invoicing@demo4.mn"",
  ""currency"": ""MNT"",
  ""subtotal"": 180000,
  ""tax"": null,
  ""total_amount"": 180000,
  ""items"": [
    {
      ""description"": ""Компьютер засвар үйлчилгээ"",
      ""quantity"": 4,
      ""unit_price"": 45000,
      ""line_total"": 180000
    }
  ]
}",False,10,True,Демо Компани-4,100.0,True,True,False,False,BANK_ACCOUNT_MISMATCH,DENY,Detected risk flags: BANK_ACCOUNT_MISMATCH,SUCCESS,7.44,SUCCESS,2026-05-03T19:26:05.483561,BANK_ACCOUNT_MISMATCH,False,False,,,,,,,,Denied because of detected risk: BANK_ACCOUNT_MISMATCH,False,False,False,False,False,False,False,False,True,False,False,True,False
